Period,NationalTV1,NationalTV2,Magazine1,Magazine2,PaidSearch1,PaidSearch2,Display1,Display2,Facebook1,Facebook2,Wechat1,Wechat2,CCI,Sales Event,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
1/6/2014,42.22041075,0,0,0,290305.8,0,901201.608,36699907,426900.0681,0,195.8163155,0,81.2,0,30331,191228,20191419,6252594,10255894,0,103017,164915,54630,10912086,0,0
1/13/2014,46.00093856,11.25585004,3.554289474,10.29733028,287581.68,6460.583616,1090388.87,37155907,405474.6161,10912086,239.2727899,405.9,81.2,0,30331,200741,20377046,6954673,9824188,0,74678,108301,104300,10231860,0,0
1/20/2014,51.42059847,12.66209901,4.620576317,11.32706331,297038.268,6603.4373,1205437.76,41136934,382718.5903,10231860,285.0251109,456.39,81.2,0,30331,214381,21822504,5098543,14215887,0,76437,133055,88597,9519178,0,0
1/27/2014,51.57660047,13.78826984,4.940462369,11.43003661,383534.3268,6773.769939,1206426.874,39993325,179926.9061,9519178,274.5740897,547.839,81.6,0,30331,222694,19889110,0,20104215,0,82677,178666,131802,3705699,0,0
2/3/2014,43.14317517,13.84797146,5.706062146,14.48342374,405423.8327,8097.813257,1227294.059,41066571,388382.6847,3705699,311.5082587,511.0839,81.6,0,25199,224297,22439345,2282690,16344536,0,88491,250863,68502,9695603,0,0
2/10/2014,46.18549145,12.28714065,5.93574208,14.78876246,353422.8833,8423.508463,1049764.76,31835679,362897.8061,9695603,279.8707193,599.20839,81.6,0,25199,222128,13171416,8289094,10375169,0,98239,162350,87056,8906979,0,0
2/17/2014,45.38259263,12.86835713,6.004646059,14.81929633,349733.8883,7650.635429,1168372.925,39635317,313279.5618,8906979,312.5675846,516.220839,81.6,0,25199,226964,25204778,9519471,4911068,0,47941,194609,106774,7411653,0,0
2/24/2014,54.06738859,12.722115,6.025317253,14.82234972,348889.7888,7596.348577,1204702.796,40288150,341624.4252,7411653,295.0886967,599.7220839,80,0,25199,225147,23829032,9326058,7133060,0,68944,194390,85462,8259165,0,0
3/3/2014,44.59288023,14.28743732,5.36188465,11.77956525,364587.7789,7583.690455,1188794.735,39089888,259164.5111,8259165,267.2952626,551.3722084,80,0,25199,227055,24157382,0,14932506,0,87823,175811,102698,5847489,0,0
3/10/2014,50.21105682,12.55807349,5.16285487,11.4752868,373250.4779,7820.811292,1246700.625,42263951,339220.1377,5847489,261.7365758,489.8372208,80,0,25199,222326,22617281,0,19646670,0,99707,188083,86423,8186571,0,0
3/17/2014,43.82161388,13.60193219,5.103145935,11.44485896,357374.0478,7950.538697,1139346.715,36130922,258475.4681,8186571,325.5669145,483.6837221,80,0,25199,222850,21358437,0,14772485,0,86284,180448,88878,5828062,0,0
3/24/2014,53.29479641,12.42097246,5.085233255,11.44181617,326914.4048,7712.157545,1164590.007,38516795,0,5828062,363.4380975,636.0683722,80,0,25199,220453,21034294,0,17482501,0,111463,167011,45056,0,0,0
3/31/2014,50.55516914,14.14695986,5.079859451,11.4415119,299905.9405,7245.364897,1252235.831,42807961,285814.7096,0,396.254143,711.6068372,84.1,0,25199,220873,16259438,0,26548523,0,46402,187068,63435,6608543,0,0
4/7/2014,46.7276513,13.66827232,1.523957835,1.14415119,442186.994,6820.954921,1210283.65,39708555,0,6608543,301.0637137,780.3606837,84.1,0,28457,224793,21609847,0,18098708,0,87576,231537,138883,0,0,0
4/14/2014,43.59958662,12.9700913,0.457187351,0.114415119,309584.5994,8939.540478,1193684.454,39284513,445340.6683,0,307.687135,544.2360684,84.1,0,28457,209339,15619430,0,23665083,0,133636,72706,88509,11504439,0,0
4/21/2014,45.33653479,12.38526514,0.137156205,0.011441512,315132.5599,6960.819074,1363272.979,48400992,251279.1103,11504439,338.5198197,580.9236068,84.1,0,28457,214215,22230114,0,26170878,0,102603,130947,82199,5625945,0,0
4/28/2014,40.46204022,12.71348986,0.041146862,0.001144151,342123.056,7060.839944,1168954.856,36450578,405767.683,5625945,373.4765419,654.7923607,81.9,0,28457,209273,12291716,0,24158862,0,94800,154114,96208,10241105,0,0
5/5/2014,37.56486944,11.78119225,4.108252128,12.73868654,390540.3056,7479.743478,1243160.171,42286338,565991.8542,10241105,351.6777011,731.4792361,81.9,0,20182,216865,16040604,0,26245734,0,73464,241495,80961,15524325,0,0
5/12/2014,36.98543529,11.21366584,5.328383708,14.01244078,326342.1306,8205.035731,1127022.023,35542399,673623.49,15524325,376.1081181,669.8479236,81.9,0,20182,222892,24270365,0,11272034,0,62141,175114,81954,19298410,0,0
5/19/2014,38.31250921,11.10016055,5.694423182,14.1398162,308030.6131,7234.003569,1190686.916,39990383,244348.7651,19298410,352.2040163,732.9847924,81.9,0,20182,227541,13380153,0,26610230,0,94946,112880,98170,5432662,0,0
5/26/2014,37.13496324,11.36425457,5.804235024,14.15255374,354828.2613,6949.893785,1243584.767,42081063,357775.708,5432662,318.6765252,669.9984792,82.5,0,20182,223641,23270038,0,18811025,0,65621,216469,77938,8750111,0,0
6/2/2014,38.82172591,11.1302783,5.151431335,11.09263419,322930.2261,7672.136874,1185867.469,38538890,282178.7032,8750111,407.1911166,595.2998479,82.5,0,32450,218140,18866906,0,19671984,0,61905,178713,78768,6503622,0,0
6/9/2014,37.23680658,11.46454993,4.955590229,10.78664223,365325.4226,7183.202857,1221035.445,40954839,154192.2051,6503622,947.1704267,817.3299848,82.5,0,32450,223925,22452171,0,18502668,0,109219,160961,99856,3055470,0,0
6/16/2014,35.95349186,11.15033737,4.896837897,10.75604304,318240.6423,7830.673129,1192057.735,39089706,0,3055470,615.9158934,2198.532998,82.5,0,32450,213124,20749729,0,18339977,0,43222,168573,101214,0,0,0
6/23/2014,36.18044174,10.89281204,4.879212197,10.75298312,306832.5642,7109.11246,1225241.058,41109309,0,0,485.3063374,1183.7533,82.5,0,32450,210238,12860376,0,28248933,0,50027,175670,79868,0,0,0
6/30/2014,41.96406885,10.93900893,4.873924487,10.75267713,301851.4564,6931.264299,1098998.116,34310576,0,0,345.2969895,922.07533,81.8,0,32450,204931,25232198,0,9078378,0,118397,129822,53079,0,0,0
7/7/2014,43.59400086,12.06915329,4.872338174,10.75264653,362033.1456,6852.547348,1222639.691,41944702,600781.773,0,346.0417906,620.507533,81.8,1,15248,372945,21132085,14357754,6454863,0,65621,218449,84650,16726148,0,0
7/14/2014,42.49820269,12.38474232,4.87186228,10.75264347,386330.3146,7779.892005,1218267.015,40428792,121.16602,16726148,346.1907508,658.7507533,81.8,1,15248,258460,14738549,9211337,16478906,0,114280,163327,111423,402,0,0
7/21/2014,43.70082763,12.17753449,4.871719512,10.75264316,422095.1315,8143.971564,1179267.391,38459922,161943.7373,402,559.3655691,662.5750753,81.8,1,15248,255097,20811313,6909527,10739082,0,116867,183254,125948,3248667,0,0
7/28/2014,38.69446803,12.40641856,4.871676682,10.75264313,412580.2131,8664.556374,1218693.277,40901660,116635.3511,3248667,752.4417805,1191.257508,82.5,1,15248,259692,22348479,14426694,4126487,0,68719,246225,96579,2155449,0,0
8/4/2014,40.08982871,11.43498916,5.292990326,12.60041305,432946.1213,8528.03648,1208516.073,39964228,78488.19922,2155449,588.4216343,1633.825751,82.5,1,20150,252732,17405852,17312942,5245434,0,89118,235619,110472,1313728,0,0
8/11/2014,39.412699,11.71213953,5.41938442,12.78519004,368784.1121,8820.46775,1217835.653,40553043,146397.7399,1313728,365.1587192,1156.082575,82.5,1,20150,249098,19798269,10293422,10461352,0,77585,171690,112380,2863637,0,0
8/18/2014,38.79796195,11.58092218,5.457302648,12.80366774,414985.5112,7881.250603,1235298.671,41364728,102.2131303,2863637,294.844629,642.1082575,82.5,1,20150,250677,16729386,12785754,11849588,0,102956,169382,147781,325,0,0
8/25/2014,40.1105275,11.4604069,5.468678116,12.80551551,365607.4511,8561.384011,1100025.472,34261155,127.8717958,325,280.7818109,530.4108258,82.5,0,20150,215834,17111235,11182321,5967599,0,109652,156019,94450,430,0,0
9/1/2014,47.91831536,11.71722307,5.472090757,12.80570028,326672.1451,7834.54745,1201183.942,40815276,189.6959799,430,329.3759615,519.2410826,84.6,0,32525,213312,16928464,12449253,11437559,0,38218,166503,117625,704,0,0
9/8/2014,55.03440668,13.18232496,1.641627227,1.280570028,391050.8145,7241.009677,1168013.233,38057626,645604.584,704,364.1999069,639.6241083,84.6,0,32525,216456,14537185,13609584,9910857,0,163447,132745,102012,18300302,0,0
9/15/2014,55.53735497,14.4593643,0.492488168,0.128057003,379194.3815,8211.249385,1111337.875,35509285,556913.4361,18300302,396.4065049,711.9624108,84.6,0,32525,220809,13527219,5190665,16791401,0,86122,158661,133094,15213692,0,0
